Game Turn, Player, Action, Tech, Score
1, 0, Tech, TECH_POTTERY, 90.9, 
1, 0, Tech, TECH_ANIMAL_HUSBANDRY, 82.6, 
1, 0, Tech, TECH_MINING, 82.6, 
1, 0, Tech, TECH_SAILING, 84.7, RESEARCHING
1, 0, Tech, TECH_ASTROLOGY, 143.7, 
1, 0, Tech, TECH_IRRIGATION, 154.8, 
1, 0, Tech, TECH_ARCHERY, 135.9, 
1, 0, Tech, TECH_WRITING, 192.0, 
1, 0, Tech, TECH_MASONRY, 132.1, 
1, 0, Tech, TECH_BRONZE_WORKING, 232.5, 
1, 0, Tech, TECH_THE_WHEEL, 124.5, 
1, 0, Tech, TECH_CELESTIAL_NAVIGATION, 247.5, 
1, 0, Tech, TECH_CURRENCY, 213.1, 
1, 0, Tech, TECH_HORSEBACK_RIDING, 148.1, 
1, 0, Tech, TECH_IRON_WORKING, 137.1, 
1, 0, Tech, TECH_SHIPBUILDING, 92.0, 
1, 0, Tech, TECH_ENGINEERING, -9874.5, 
1, 0, Tech, TECH_CARTOGRAPHY, -9907.0, 
1, 1, Tech, TECH_POTTERY, 66.3, RESEARCHING
1, 1, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, 
1, 1, Tech, TECH_MINING, 60.3, 
1, 1, Tech, TECH_SAILING, 32.3, 
1, 1, Tech, TECH_ASTROLOGY, 84.8, 
1, 1, Tech, TECH_IRRIGATION, 116.7, GOAL
1, 1, Tech, TECH_ARCHERY, 69.8, 
1, 1, Tech, TECH_WRITING, 84.5, 
1, 1, Tech, TECH_MASONRY, -9938.8, BOOSTED
1, 1, Tech, TECH_BRONZE_WORKING, -9938.8, 
1, 1, Tech, TECH_THE_WHEEL, -9938.8, 
1, 1, Tech, TECH_CELESTIAL_NAVIGATION, -9910.2, 
1, 1, Tech, TECH_CURRENCY, -9914.5, 
1, 1, Tech, TECH_HORSEBACK_RIDING, -14893.8, 
1, 1, Tech, TECH_IRON_WORKING, -9938.8, 
1, 1, Tech, TECH_SHIPBUILDING, -9966.7, 
1, 1, Tech, TECH_ENGINEERING, -9938.8, 
1, 1, Tech, TECH_CARTOGRAPHY, -9966.7, 
1, 2, Tech, TECH_POTTERY, 66.3, RESEARCHING
1, 2, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, 
1, 2, Tech, TECH_MINING, 60.3, 
1, 2, Tech, TECH_SAILING, 32.3, 
1, 2, Tech, TECH_ASTROLOGY, 56.5, 
1, 2, Tech, TECH_IRRIGATION, 77.8, BOOSTED
1, 2, Tech, TECH_ARCHERY, 69.8, 
1, 2, Tech, TECH_WRITING, 84.5, GOAL
1, 2, Tech, TECH_MASONRY, -9938.8, 
1, 2, Tech, TECH_BRONZE_WORKING, -9938.8, 
1, 2, Tech, TECH_THE_WHEEL, -9938.8, 
1, 2, Tech, TECH_CELESTIAL_NAVIGATION, -9910.2, 
1, 2, Tech, TECH_CURRENCY, -9914.5, 
1, 2, Tech, TECH_HORSEBACK_RIDING, -9929.2, 
1, 2, Tech, TECH_IRON_WORKING, -9938.8, 
1, 2, Tech, TECH_SHIPBUILDING, -9966.7, 
1, 2, Tech, TECH_ENGINEERING, -9938.8, 
1, 2, Tech, TECH_CARTOGRAPHY, -9966.7, 
1, 3, Tech, TECH_POTTERY, 66.3, 
1, 3, Tech, TECH_ANIMAL_HUSBANDRY, 90.4, RESEARCHING
1, 3, Tech, TECH_MINING, 60.3, 
1, 3, Tech, TECH_SAILING, 32.3, 
1, 3, Tech, TECH_ASTROLOGY, 56.5, 
1, 3, Tech, TECH_IRRIGATION, 77.8, 
1, 3, Tech, TECH_ARCHERY, 69.8, 
1, 3, Tech, TECH_WRITING, 84.5, BOOSTED
1, 3, Tech, TECH_MASONRY, -9938.8, 
1, 3, Tech, TECH_BRONZE_WORKING, -9938.8, 
1, 3, Tech, TECH_THE_WHEEL, -9938.8, 
1, 3, Tech, TECH_CELESTIAL_NAVIGATION, -9910.2, 
1, 3, Tech, TECH_CURRENCY, -9914.5, 
1, 3, Tech, TECH_HORSEBACK_RIDING, -9929.2, 
1, 3, Tech, TECH_IRON_WORKING, -14908.1, 
1, 3, Tech, TECH_SHIPBUILDING, -9966.7, 
1, 3, Tech, TECH_ENGINEERING, -14908.1, 
1, 3, Tech, TECH_CARTOGRAPHY, -9966.7, 
1, 4, Tech, TECH_POTTERY, 66.3, RESEARCHING
1, 4, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, 
1, 4, Tech, TECH_MINING, 60.3, 
1, 4, Tech, TECH_SAILING, 32.3, 
1, 4, Tech, TECH_ASTROLOGY, 84.8, 
1, 4, Tech, TECH_IRRIGATION, 77.8, 
1, 4, Tech, TECH_ARCHERY, 69.8, 
1, 4, Tech, TECH_WRITING, 126.7, GOAL
1, 4, Tech, TECH_MASONRY, -9938.8, 
1, 4, Tech, TECH_BRONZE_WORKING, -14908.1, BOOSTED
1, 4, Tech, TECH_THE_WHEEL, -9938.8, 
1, 4, Tech, TECH_CELESTIAL_NAVIGATION, -9910.2, 
1, 4, Tech, TECH_CURRENCY, -9914.5, 
1, 4, Tech, TECH_HORSEBACK_RIDING, -9929.2, 
1, 4, Tech, TECH_IRON_WORKING, -9938.8, 
1, 4, Tech, TECH_SHIPBUILDING, -9966.7, 
1, 4, Tech, TECH_ENGINEERING, -9938.8, 
1, 4, Tech, TECH_CARTOGRAPHY, -9966.7, 
1, 5, Tech, TECH_POTTERY, 66.3, RESEARCHING
1, 5, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, 
1, 5, Tech, TECH_MINING, 60.3, 
1, 5, Tech, TECH_SAILING, 32.3, 
1, 5, Tech, TECH_ASTROLOGY, 56.5, 
1, 5, Tech, TECH_IRRIGATION, 77.8, BOOSTED
1, 5, Tech, TECH_ARCHERY, 69.8, 
1, 5, Tech, TECH_WRITING, 84.5, GOAL
1, 5, Tech, TECH_MASONRY, -9938.8, 
1, 5, Tech, TECH_BRONZE_WORKING, -9938.8, 
1, 5, Tech, TECH_THE_WHEEL, -9938.8, 
1, 5, Tech, TECH_CELESTIAL_NAVIGATION, -9910.2, 
1, 5, Tech, TECH_CURRENCY, -9914.5, 
1, 5, Tech, TECH_HORSEBACK_RIDING, -9929.2, 
1, 5, Tech, TECH_IRON_WORKING, -9938.8, 
1, 5, Tech, TECH_SHIPBUILDING, -9966.7, 
1, 5, Tech, TECH_ENGINEERING, -9938.8, 
1, 5, Tech, TECH_CARTOGRAPHY, -9966.7, 
1, 6, Tech, TECH_POTTERY, 66.3, RESEARCHING
1, 6, Tech, TECH_ANIMAL_HUSBANDRY, 60.3, 
1, 6, Tech, TECH_MINING, 60.3, 
1, 6, Tech, TECH_SAILING, 32.3, 
1, 6, Tech, TECH_ASTROLOGY, 56.5, 
1, 6, Tech, TECH_IRRIGATION, 77.8, 
1, 6, Tech, TECH_ARCHERY, 69.8, 
1, 6, Tech, TECH_WRITING, 84.5, GOAL
1, 6, Tech, TECH_MASONRY, -9938.8, 
1, 6, Tech, TECH_BRONZE_WORKING, -9938.8, 
1, 6, Tech, TECH_THE_WHEEL, -9938.8, 
